Time,Temperature,Sound,Light,Pressure,Humidity,Comment
s,°C,dBA,lx,kPa,%RH,

814.08,29.8,40.0,93,97.14,59.2,
816,28.8,40.0,94,97.14,59.1,
817.92,27.9,70.1,60,97.18,59.0,
819.84,27.1,62.7,97,97.12,59.0,
821.76,26.4,40.0,96,97.17,58.9,
823.68,25.6,40.0,99,97.14,58.9,
825.6,24.9,40.0,94,97.16,58.9,
827.52,24.2,40.0,94,97.17,58.8,
829.44,23.6,40.0,103,97.16,58.8,
831.36,23.0,52.5,104,97.15,58.7,
833.28,22.4,42.0,104,97.14,58.7,
835.2,22.0,41.9,104,97.12,58.7,
837.12,21.5,49.0,77,97.16,58.6,
839.04,21.1,40.0,102,97.13,58.6,
840.96,20.7,45.3,104,97.14,58.6,
842.88,20.3,44.1,104,97.13,58.5,
844.8,20.0,54.0,105,97.15,58.5,
846.72,19.7,54.2,107,97.12,58.5,
848.64,19.4,40.0,110,97.12,58.5,
850.56,19.0,40.0,113,97.14,58.4,
852.48,18.8,40.0,113,97.15,58.4,
854.4,18.5,40.0,113,97.14,58.4,
856.32,18.2,50.4,114,97.14,58.4,
858.24,18.0,40.0,114,97.13,58.3,
860.16,17.7,49.9,114,97.15,58.3,
862.08,17.5,40.0,115,97.12,58.3,
864,17.3,40.0,115,97.14,58.3,
865.92,17.0,40.0,115,97.16,58.2,
867.84,16.7,40.0,115,97.14,58.2,
869.76,16.5,40.0,106,97.15,58.2,
871.68,16.3,44.2,73,97.16,58.2,
873.6,16.1,69.9,56,97.13,58.2,
875.52,15.8,40.0,67,97.13,58.1,
877.44,15.6,40.0,69,97.14,58.1,
879.36,15.4,40.0,69,97.13,58.1,
881.28,15.2,40.0,69,97.13,58.1,
883.2,15.0,40.0,47,97.15,58.1,
885.12,14.8,76.8,47,97.14,58.1,
887.04,14.6,76.0,46,97.14,58.0,
888.96,14.4,75.0,46,97.15,58.0,
890.88,14.3,70.8,39,97.11,58.0,
892.8,14.1,45.6,39,97.14,58.0,
894.72,14.0,40.0,66,97.12,58.0,
896.64,13.9,40.0,64,97.15,58.0,
898.56,13.7,40.0,69,97.11,58.0,
900.48,13.6,74.7,47,97.17,58.0,
902.4,13.5,76.0,45,97.15,57.9,
904.32,13.4,70.9,44,97.15,57.9,
906.24,13.3,40.0,48,97.14,57.9,
908.16,13.1,40.0,45,97.15,57.9,
910.08,13.1,75.0,48,97.13,57.9,
912,13.0,76.9,46,97.12,57.9,
913.92,12.8,76.8,42,97.11,57.9,
915.84,12.8,63.1,51,97.14,57.9,
917.76,12.7,42.9,54,97.14,57.9,
919.68,12.6,40.0,52,97.13,57.9,
921.6,12.6,82.0,45,97.13,57.8,
923.52,12.5,82.3,43,97.14,57.8,
925.44,12.4,79.9,40,97.13,57.8,
927.36,12.4,77.7,40,97.14,57.8,
929.28,12.4,76.4,37,97.17,57.8,
931.2,12.3,73.3,42,97.14,57.8,
933.12,12.3,70.8,43,97.14,57.8,
935.04,12.2,69.0,43,97.13,57.8,
936.96,12.2,67.5,44,97.16,57.8,
938.88,12.1,65.4,46,97.14,57.8,
940.8,12.1,64.2,46,97.14,57.8,
942.72,12.0,62.6,46,97.17,57.8,
944.64,12.0,61.1,47,97.18,57.8,
946.56,12.0,71.1,45,97.17,57.8,
948.48,11.9,57.6,45,97.17,57.8,
950.4,11.9,57.5,44,97.16,57.7,
952.32,11.8,54.7,44,97.11,57.7,
954.24,11.8,54.4,43,97.18,57.7,
956.16,11.8,52.2,44,97.15,57.7,
958.08,11.7,71.5,43,97.13,57.7,
960,11.7,40.0,45,97.15,57.7,
961.92,11.7,65.8,46,97.15,57.7,
963.84,11.6,40.0,54,97.16,57.7,
965.76,11.6,42.1,64,97.13,57.6,
967.68,11.6,40.0,72,97.15,57.6,
969.6,11.6,40.0,72,97.17,57.6,
971.52,11.5,60.4,72,97.16,57.6,
973.44,11.5,43.1,80,97.14,57.6,
975.36,11.4,77.3,53,97.16,57.6,
977.28,11.4,80.0,56,97.16,57.6,
979.2,11.4,79.9,54,97.16,57.6,
981.12,11.4,77.2,52,97.16,57.6,
983.04,11.3,74.3,52,97.14,57.6,
984.96,11.3,71.8,52,97.14,57.6,
986.88,11.3,69.4,53,97.16,57.6,
988.8,11.3,67.8,50,97.14,57.5,
990.72,11.2,65.0,52,97.15,57.5,
992.64,11.2,63.2,53,97.15,57.5,
994.56,11.2,67.6,52,97.16,57.5,
996.48,11.2,60.0,52,97.14,57.5,
998.4,11.2,58.7,43,97.17,57.5,
1000.32,11.2,57.0,44,97.16,57.5,
1002.24,11.2,55.3,43,97.17,57.5,
1004.16,11.2,40.0,44,97.12,57.5,
1006.08,11.1,70.9,87,97.14,57.5,
1008,11.1,49.3,81,97.14,57.5,
